in:NumberOfDiagonals,in:TrussHeight,out:DefMax,out:Util_1,out:Util_2,out:Util_3,out:Util_4,out:Util_5,out:Util_6,out:Util_7,out:Util_8,out:Util_9,out:Util_10,out:sig-max_1,out:sig-max_2,out:sig-max_3,out:sig-max_4,out:sig-max_5,out:sig-max_6,out:sig-max_7,out:sig-max_8,out:sig-max_9,out:sig-max_10,out:Mass,img
16,1.3,2.49577,0.087266,0.213251,0.344331,0.42899,0.456179,0.42899,0.344331,0.213251,0.087266,0.213183,3.442055,7.689801,12.521573,15.451199,16.438488,15.451199,12.521573,7.689801,3.442055,-1.239202,2686.863179,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight3_Front.png
18,1.3,2.54091,0.091625,0.1971,0.322968,0.413431,0.457768,0.457768,0.413431,0.322968,0.1971,0.091625,3.615293,7.10783,11.805587,14.885698,16.488353,16.488353,14.885698,11.805587,7.10783,3.615293,2786.066057,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight3_Front.png
20,1.3,2.584588,0.096521,0.18415,0.304488,0.397672,0.452575,0.470956,0.452575,0.397672,0.304488,0.18415,3.809284,6.638003,11.171132,14.34006,16.296612,16.964675,16.296612,14.34006,11.171132,6.638003,2888.554714,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight3_Front.png
4,1.4,3.171264,0.146447,0.491248,0.146447,0.583078,0.583078,0.846559,0.846559,0.205414,0.221788,0.221788,5.68477,17.941461,5.68477,12.470498,12.470498,8.76631,8.76631,-3.496318,7.984375,7.984375,2251.700271,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight4_Front.png
6,1.4,2.476998,0.104101,0.388129,0.388129,0.104101,0.336806,0.336806,0.43217,0.604031,0.43217,0.186179,4.072803,14.0816,14.0816,4.072803,3.549099,3.549099,1.66525,-4.189465,1.66525,-4.604612,2306.162832,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight4_Front.png
8,1.4,2.186602,0.086658,0.323311,0.409563,0.323311,0.086658,0.254985,0.254985,0.291151,0.50035,0.50035,3.403627,11.693203,14.808392,11.693203,3.403627,0.518592,0.518592,-0.186144,-5.694907,-5.694907,2376.659143,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight4_Front.png
10,1.4,2.184629,0.081333,0.276408,0.394757,0.394757,0.276408,0.081333,0.22069,0.22069,0.224438,0.426822,3.20204,9.984245,14.235818,14.235818,9.984245,3.20204,-0.772406,-0.772406,-0.68101,-5.825749,2459.613418,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight4_Front.png
12,1.4,2.159206,0.081359,0.243474,0.368308,0.414806,0.368308,0.243474,0.081359,0.208228,0.208228,0.187766,3.207629,8.78894,13.26835,14.961509,13.26835,8.78894,3.207629,-1.382802,-1.382802,-0.727736,2552.045856,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight4_Front.png
14,1.4,2.19347,0.084209,0.219061,0.343035,0.411146,0.411146,0.343035,0.219061,0.084209,0.212116,0.212116,3.322867,7.906239,12.356262,14.818289,14.818289,12.356262,7.906239,3.322867,-1.376218,-1.376218,2651.650379,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight4_Front.png
16,1.4,2.222678,0.088578,0.200605,0.320805,0.400027,0.425275,0.400027,0.320805,0.200605,0.088578,0.216994,3.497114,7.235365,11.643714,14.409789,15.325931,14.409789,11.643714,7.235365,3.497114,-1.212082,2756.704886,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight4_Front.png
